,0,1
0,2008-08-08,0.02643702701117423
1,2008-08-11,0.004491148288938263
2,2008-08-12,-0.011817519177672486
3,2008-08-13,-0.008583447394987176
4,2008-08-14,0.007271840504886384
5,2008-08-15,0.004193398462652986
6,2008-08-18,-0.015460218527576175
7,2008-08-19,-0.011285853374611299
8,2008-08-20,0.00630086667923746
9,2008-08-21,0.001312237369248015
10,2008-08-22,0.01761382945805967
11,2008-08-25,-0.0206379236126103
12,2008-08-26,0.002574813863780001
13,2008-08-27,0.007890481570820729
14,2008-08-28,0.018722782849669883
15,2008-08-29,-0.014451223208489572
16,2008-09-02,-0.00248665177135754
17,2008-09-03,0.0023353115064617125
18,2008-09-04,-0.02985047327202195
19,2008-09-05,0.003158523781811917
20,2008-09-08,0.02546756568408326
21,2008-09-09,-0.024664059724592402
22,2008-09-10,0.0031164363533120465
23,2008-09-11,0.015026892108124024
24,2008-09-12,-0.0006413397997344639
25,2008-09-15,-0.043696932202395344
26,2008-09-16,0.014066088159523815
27,2008-09-17,-0.04042117172282478
28,2008-09-18,0.03871055575009086
29,2008-09-19,0.03273002442607864
30,2008-09-22,-0.03323815469261049
31,2008-09-23,-0.014662767533854981
32,2008-09-24,-0.002290282421059442
33,2008-09-25,0.018000054437494306
34,2008-09-26,0.011261402405364329
35,2008-09-29,-0.06949697690485446
36,2008-09-30,0.046191619251555904
37,2008-10-01,-0.0015054371011831158
38,2008-10-02,-0.0316557353042366
39,2008-10-03,-0.015125971349558176
40,2008-10-06,-0.035555227568016545
41,2008-10-07,-0.051058576532438504
42,2008-10-08,-0.01898129547523708
43,2008-10-09,-0.07369065130802477
44,2008-10-10,-0.013710353306803258
45,2008-10-13,0.1093292980645828
46,2008-10-14,-0.00830543662056471
47,2008-10-15,-0.07783347590526868
48,2008-10-16,0.04689493405313461
49,2008-10-17,-0.013718672515723895
50,2008-10-20,0.04666921501762222
51,2008-10-21,-0.024737622945959825
52,2008-10-22,-0.05634015354603794
53,2008-10-23,0.020127360062505373
54,2008-10-24,-0.03504001024581482
55,2008-10-27,-0.02389587100448398
56,2008-10-28,0.10837880239188502
57,2008-10-29,-0.007875470920360894
58,2008-10-30,0.019548797061786694
59,2008-10-31,0.015896992455671555
60,2008-11-03,-0.000665873293919983
61,2008-11-04,0.03232455942511603
62,2008-11-05,-0.04963605613290545
63,2008-11-06,-0.04797670883068328
64,2008-11-07,0.028493380223079567
65,2008-11-10,-0.008501505971440504
66,2008-11-11,-0.019218659186917675
67,2008-11-12,-0.04627306940418929
68,2008-11-13,0.06691233037397515
69,2008-11-14,-0.03682541910399473
70,2008-11-17,-0.026046372864378053
71,2008-11-18,0.01830097141601228
72,2008-11-19,-0.05028217680245495
73,2008-11-20,-0.055435944573871576
74,2008-11-21,0.06541652452756774
75,2008-11-24,0.04911722056566048
76,2008-11-25,0.00406506942820406
77,2008-11-26,0.030967029407999114
78,2008-11-28,0.011959132310333853
79,2008-12-01,-0.07678806816776917
80,2008-12-02,0.03254206273187177
81,2008-12-03,0.02170861582057526
82,2008-12-04,-0.02455203816199969
83,2008-12-05,0.030961958527732092
84,2008-12-08,0.0343298563355805
85,2008-12-09,-0.027173362915658528
86,2008-12-10,0.00787069159093523
87,2008-12-11,-0.02114711912556866
88,2008-12-12,0.007775231170967789
89,2008-12-15,-0.0074493818038910975
90,2008-12-16,0.04185195993717761
91,2008-12-17,-0.01093603390910447
92,2008-12-18,-0.024813199696544164
93,2008-12-19,-0.0031824374600593064
94,2008-12-22,-0.006261211900039032
95,2008-12-23,-0.011640359968846936
96,2008-12-24,0.006132942075929071
97,2008-12-26,0.005530930237982679
98,2008-12-29,-0.0037506947101316745
99,2008-12-30,0.02131130178189422
100,2008-12-31,0.012682100812797747
101,2009-01-02,0.029917117045227926
102,2009-01-05,-0.008224123942185635
103,2009-01-06,0.006759598159487901
104,2009-01-07,-0.025257501343709743
105,2009-01-08,-0.003133484111932594
106,2009-01-09,-0.015977035761834846
107,2009-01-12,-0.014569863268391381
108,2009-01-13,-0.0030739799138791435
109,2009-01-14,-0.029110802001409697
110,2009-01-15,0.001982616362633083
111,2009-01-16,0.007978631763731148
112,2009-01-20,-0.03992207908697398
113,2009-01-21,0.03508915896086706
114,2009-01-22,-0.012357073603326607
115,2009-01-23,-0.0038513736142872235
116,2009-01-26,0.0047028420033310425
117,2009-01-27,0.0070638274164793735
118,2009-01-28,0.024403341846739313
119,2009-01-29,-0.026758415144059522
120,2009-01-30,-0.01818011111216522
121,2009-02-02,-0.007983145814445924
122,2009-02-03,0.01781149085889111
123,2009-02-04,-0.014083663408479996
124,2009-02-05,0.013606795486348355
125,2009-02-06,0.027830112811973118
126,2009-02-09,-0.00126908391457492
127,2009-02-10,-0.04601087058782949
128,2009-02-11,0.006653943020206388
129,2009-02-12,9.954033847803245e-05
130,2009-02-13,-0.010410921971511389
131,2009-02-17,-0.03734942756284476
132,2009-02-18,0.0012297050732457127
133,2009-02-19,-0.011816951335212655
134,2009-02-20,-0.01284198048847851
135,2009-02-23,-0.03410409748311394
136,2009-02-24,0.033111573328246324
137,2009-02-25,-0.010706726121067489
138,2009-02-26,-0.011965781035514822
139,2009-02-27,-0.016437895641654543
140,2009-03-02,-0.041549036039354004
141,2009-03-03,-0.005734091373104211
142,2009-03-04,0.02220171619713085
143,2009-03-05,-0.04067055976306555
144,2009-03-06,0.004818652504001486
145,2009-03-09,-0.01187647360459454
146,2009-03-10,0.057962410560424615
147,2009-03-11,0.0010501058224909876
148,2009-03-12,0.034283979594785574
